time	V(shifted)
1.502148569149392e-001	6.397367e-001
1.505013328015248e-001	6.377962e-001
1.510742845746961e-001	6.334490e-001
1.518621040495266e-001	6.279681e-001
1.527164068345771e-001	6.236668e-001
1.530000000000000e-001	6.229002e-001
1.530247640904694e-001	6.228938e-001
1.530742922714081e-001	6.228938e-001
1.531733486332855e-001	6.229520e-001
1.533714613570403e-001	6.232752e-001
1.537676868045499e-001	6.245233e-001
1.545601376995691e-001	6.281403e-001
1.557512621896734e-001	6.343855e-001
1.560000000000000e-001	6.356867e-001
1.561080893770269e-001	6.361884e-001
1.563242681310808e-001	6.371404e-001
1.567566256391884e-001	6.388438e-001
1.576213406554037e-001	6.418011e-001
1.590000000000000e-001	6.460748e-001
1.591729430032431e-001	6.465653e-001
1.595188290097292e-001	6.474393e-001
1.602106010227014e-001	6.485144e-001
1.611163589626877e-001	6.481668e-001
1.620000000000000e-001	6.460171e-001
1.621066051371785e-001	6.454152e-001
1.623198154115354e-001	6.440818e-001
1.627462359602492e-001	6.408671e-001
1.635990770576769e-001	6.329100e-001
1.649326129452120e-001	6.185740e-001
1.650000000000000e-001	6.177848e-001
1.650241142199591e-001	6.174886e-001
1.650723426598773e-001	6.168957e-001
1.651687995397138e-001	6.157133e-001
1.653617132993866e-001	6.134117e-001
1.657475408187323e-001	6.093966e-001
1.665191958574237e-001	6.043723e-001
1.674767564842636e-001	6.036786e-001
1.680000000000000e-001	6.063113e-001
1.680043333583376e-001	6.063585e-001
1.680130000750128e-001	6.064537e-001
1.680303335083632e-001	6.066475e-001
1.680650003750641e-001	6.070485e-001
1.681343341084658e-001	6.079013e-001
1.682730015752692e-001	6.097880e-001
1.685503365088761e-001	6.141264e-001
1.691050063760897e-001	6.240229e-001
1.702143461105170e-001	6.449204e-001
1.710000000000000e-001	6.594251e-001
1.710639613411142e-001	6.604620e-001
1.711918840233425e-001	6.624834e-001
1.714477293877992e-001	6.663080e-001
1.719594201167125e-001	6.733634e-001
1.729828015745392e-001	6.866066e-001
1.740000000000000e-001	6.995167e-001
1.740088959649331e-001	6.996334e-001
1.740266878947993e-001	6.998672e-001
1.740622717545316e-001	7.003359e-001
1.741334394739963e-001	7.012736e-001
1.742757749129257e-001	7.031226e-001
1.745604457907845e-001	7.065126e-001
1.751297875465021e-001	7.111261e-001
1.761028689644364e-001	7.117246e-001
1.770000000000000e-001	7.051184e-001
1.770900925559156e-001	7.033359e-001
1.772702776677469e-001	6.994448e-001
1.776306478914094e-001	6.904427e-001
1.783513883387344e-001	6.700463e-001
1.795725322216508e-001	6.337253e-001
1.800000000000000e-001	6.211872e-001
1.801316525970285e-001	6.176684e-001
1.803949577910854e-001	6.108878e-001
1.809215681791993e-001	5.983784e-001
1.819747889554270e-001	5.757986e-001
1.830000000000000e-001	5.555328e-001
1.831909062773739e-001	5.521173e-001
1.835727188321216e-001	5.456670e-001
1.843363439416171e-001	5.349082e-001
1.854089621739037e-001	5.242896e-001
1.860000000000000e-001	5.209122e-001
1.860576813683265e-001	5.208696e-001
1.861730441049795e-001	5.208517e-001
1.864037695782854e-001	5.210719e-001
1.868652205248973e-001	5.220237e-001
1.876333656099999e-001	5.236788e-001
1.884921500464321e-001	5.243833e-001
1.890000000000000e-001	5.238085e-001
1.890660447747488e-001	5.235388e-001
1.891981343242463e-001	5.229182e-001
1.894623134232415e-001	5.212829e-001
1.899906716212318e-001	5.164483e-001
1.910473880172123e-001	5.025718e-001
1.920000000000000e-001	4.867818e-001
1.921915170630845e-001	4.827087e-001
1.925745511892535e-001	4.742884e-001
1.933406194415915e-001	4.567904e-001
1.944236173752977e-001	4.316571e-001
1.950000000000000e-001	4.183613e-001
1.951187742623697e-001	4.157114e-001
1.953563227871090e-001	4.104745e-001
1.958314198365876e-001	4.002911e-001
1.967816139355448e-001	3.807397e-001
1.979666563282353e-001	3.571794e-001
1.980000000000000e-001	3.565321e-001
1.980426193213567e-001	3.557168e-001
1.981278579640702e-001	3.540952e-001
1.982843342609359e-001	3.511832e-001
1.985972868546673e-001	3.458246e-001
1.992231920421302e-001	3.376609e-001
2.002026416064824e-001	3.316927e-001
2.010000000000000e-001	3.324783e-001
2.010969281232646e-001	3.335769e-001
2.012907843697939e-001	3.361323e-001
2.016784968628523e-001	3.427802e-001
2.024539218489692e-001	3.607837e-001
2.040000000000000e-001	4.040986e-001
2.040882474434776e-001	4.070868e-001
2.042647423304330e-001	4.131936e-001
2.046177321043436e-001	4.262760e-001
2.053237116521648e-001	4.575367e-001
2.067356707478073e-001	5.322104e-001
